seed,edge_server_number,edge_avg_wait,edge_avg_delay,edge_server_service,edge_server_utilization,edge_weight_utilization,edge_avg_number_node,edge_avg_number_queue,cloud_avg_wait,cloud_avg_delay,cloud_avg_service_time,cloud_utilization,cloud_weight_utilization,cloud_number,cloud_avg_number_node,cloud_avg_number_queue,count_E,E_avg_wait,E_avg_delay,E_avg_number_queue_edge,E_edge_server_utilization,edge_weight_utilizationE,E_edge_server_service,E_avg_number_edge,count_C,C_avg_wait,C_avg_delay,C_avg_number_queue_edge,C_edge_server_utilization,edge_weight_utilizationC,C_edge_server_service,C_avg_number_edge
1332499992,"[1, 2, 3]",0.408604497251477,0.10861766661409691,"[0.30066258082592695, 0.2987356792283956, 0.30055709215963644]","[0.37897815382302263, 0.28471394043291, 0.17954471257950466]","[0.37897815382302263, 0.09490464681097, 0.05984823752650155]",1.1485515907110682,0.30531478387563077,1.1300018895496307,0.331470122194827,"[0.7961047403339111, 0.8026884793049194, 0.7969633408712266]","[0.4185991461178845, 0.37235643009578434, 0.33134598654203185]","[0.4185991461178845, 0.12411881003192811, 0.11044866218067728]","[4, 5, 6]",1.5881683589864715,0.4658667962307707,0,0.6063975343989493,0.10644970758041396,0.14961042009403697,"[0.3162994127415569, 0.23695310706570819, 0.14940234036619884]","[0.3162994127415569, 0.07898436902190273, 0.04980078012206628]","[0.5005444027847751, 0.5004972285139652, 0.4978249764038375]",0.8522652802675009,121429,0.21081146010400167,0.11078562564778076,0.15570436378159508,"[0.06267874108146287, 0.047760833367197934, 0.03014237221330683]","[0.06267874108146287, 0.015920277789065976, 0.01004745740443561]","[0.09971706824623153, 0.09957898114260026, 0.10139971293727917]",0.29628631044356274
1874837115,"[1, 2, 3]",0.41188735168818924,0.11204522460056454,"[0.3006494332990332, 0.298761181434853, 0.2998581492129456]","[0.38166313790685835, 0.28593816787549997, 0.18164943042153897]","[0.38166313790685835, 0.16679726459404162, 0.060549810140512986]",1.1665993703147834,0.3173486341108862,1.1640262667124621,0.361525596106358,"[0.8011827554550572, 0.8015413704231338, 0.8052406008295785]","[0.4226777976068378, 0.37688987717695027, 0.33690419448958653]","[0.4226777976068378, 0.21985242835322097, 0.11230139816319551]","[4, 5, 6]",1.6484510925266722,0.5119792232532977,0,0.6110813976786826,0.11164546755854757,0.15810819586771488,"[0.31810424056999526, 0.23785219049553666, 0.15132632379774993]","[0.31810424056999526, 0.13874711112239638, 0.05044210793258331]","[0.5012825519857385, 0.4978925265011583, 0.49800595376323586]",0.8653909507309967,122357,0.21269330569769596,0.11244498164258127,0.159240438243171,"[0.06355889733686683, 0.04808597737996063, 0.030323106623788506]","[0.06355889733686683, 0.028050153471643694, 0.010107702207929501]","[0.10011141179915434, 0.10031256691395615, 0.10043422601033251]",0.30120841958378697
1848925614,"[1, 2, 3]",0.4037971935344683,0.10474745867882457,"[0.29812446116117225, 0.3001438257841656, 0.29928133708349186]","[0.3770584309742445, 0.28327198467599524, 0.17789715543114448]","[0.3770584309742445, 0.0944239948919984, 0.05929905181038149]",1.131831602891285,0.2936040318099007,1.167277768908771,0.3662107128949813,"[0.7979269549496585, 0.8093310568995448, 0.7958733657985787]","[0.4187569105407496, 0.37293012856127755, 0.33099660574368217]","[0.4187569105407496, 0.12431004285375918, 0.11033220191456072]","[4, 5, 6]",1.6359225489399079,0.5132389040941984,0,0.6013209246378781,0.1032165228277028,0.14465643192610705,"[0.3137344439898988, 0.23615002915230432, 0.14820148750216147]","[0.3137344439898988, 0.07871667638410143, 0.04940049583405382]","[0.4968638769193139, 0.500338478847478, 0.4971947758042316]",0.8427423925704717,121085,0.20627346243105385,0.10627839452994313,0.14894759988378914,"[0.06332398698434197, 0.047121955523693526, 0.02969566792898225]","[0.06332398698434197, 0.01570731850789784, 0.009898555976327416]","[0.09998432542641872, 0.09987550493890096, 0.1002083851881954]",0.2890892103208069
863288616,"[1, 2, 3]",0.40746352613834474,0.10692742887881955,"[0.30146504738523583, 0.300299803614126, 0.29894994094857397]","[0.38195683297126287, 0.2867097872468687, 0.17931110589009927]","[0.38195683297126287, 0.09556992908228956, 0.059770368630033086]",1.149678848955254,0.30170112284702333,1.1324937436178566,0.33350612172158994,"[0.8024986206145543, 0.797686759741748, 0.7960266148773746]","[0.42188755463365935, 0.372318370727014, 0.33298597102432154]","[0.42188755463365935, 0.12410612357567133, 0.11099532367477384]","[4, 5, 6]",1.5976940512333597,0.47050215484836466,0,0.6060459784654035,0.10565234649767045,0.14905170686323269,"[0.3182443595201707, 0.23841224859445992, 0.14928630201209728]","[0.3182443595201707, 0.07947074953148664, 0.04976210067069909]","[0.5022617301031911, 0.5009928637909872, 0.49551821713597877]",0.8549946169899606,121891,0.20888107381128815,0.10820251125997224,0.1526494159837957,"[0.06371247345109103, 0.048297538652407816, 0.03002480387800187]","[0.06371247345109103, 0.016099179550802603, 0.010008267959333956]","[0.10059131016948851, 0.10085822527430141, 0.10057548938581828]",0.2946842319652964
591674564,"[1, 2, 3]",0.4107705645289315,0.1103097780523061,"[0.2995595909490288, 0.3004707183635746, 0.3023538782675791]","[0.3789818817863301, 0.28617736248668985, 0.18058423452263989]","[0.3789818817863301, 0.09539245416222994, 0.06019474484087996]",1.1562458126580932,0.3105023338624335,1.1518857776032319,0.34768460019403946,"[0.8037560298265679, 0.7978928388818465, 0.8119156121930401]","[0.4218308541159424, 0.37411780063715283, 0.335892723633446]","[0.4218308541159424, 0.1247059335457176, 0.11196424121114867]","[4, 5, 6]",1.6211764206394863,0.4893350422529449,0,0.6095327329256509,0.10895007078748026,0.15333750031637713,"[0.31577397352205583, 0.23847241854127266, 0.1502790254897286]","[0.31577397352205583, 0.07949080618042421, 0.0500930084965762]","[0.49989120914864676, 0.49877193852154383, 0.5049593263560416]",0.8578629178694342,121590,0.212008396132205,0.111669485317121,0.15716483354604094,"[0.06320790826427812, 0.047704943945417855, 0.03030520903291219]","[0.06320790826427812, 0.01590164798180595, 0.010101736344304063]","[0.09978439862363053, 0.10057735867777474, 0.10113367292910648]",0.2983828947886491
813189306,"[1, 2, 3]",0.4097105381555492,0.10840305426357599,"[0.3017674858169337, 0.30175173313983866, 0.2996312012201464]","[0.38201754409301775, 0.2873957787062246, 0.17972082883203014]","[0.38201754409301775, 0.09579859290207487, 0.05990694294401004]",1.1546318257260266,0.3054976740947541,1.1369971210173588,0.3374219867565954,"[0.7940787015093643, 0.8032374113466602, 0.8024597487415094]","[0.41933853233622254, 0.3730985476139748, 0.3342301779055595]","[0.41933853233622254, 0.1243661825379916, 0.11141005930185316]","[4, 5, 6]",1.6021226444352419,0.47545538657948494,0,0.6103577959002235,0.1072186366098018,0.1510798949643201,"[0.31858939206541176, 0.24036399338887396, 0.15001115412170157]","[0.31858939206541176, 0.08012133112962465, 0.05000371804056719]","[0.5035298104293171, 0.5042081712824196, 0.500613635880408]",0.8600444345403074,121744,0.20906328041086597,0.10958747191734117,0.15441777913042132,"[0.06342815202760332, 0.04703178531735304, 0.02970967471032912]","[0.06342815202760332, 0.01567726177245101, 0.00990322490344304]","[0.10016742664565276, 0.09886674800039143, 0.09898201935325396]",0.2945873911857068
137939425,"[1, 2, 3]",0.41057009279659645,0.11019792704690773,"[0.30103633146134967, 0.2995112068601914, 0.3003421672566997]","[0.379533698017233, 0.2850628010509121, 0.17946720493164733]","[0.379533698017233, 0.09502093368363736, 0.059822401643882445]",1.1537264526907742,0.3096627486909819,1.1377014766570754,0.33553166873424967,"[0.7999850681803256, 0.8027469031087836, 0.8042750812241397]","[0.41882169770609207, 0.37400687071296623, 0.33424393782038514]","[0.41882169770609207, 0.12466895690432207, 0.11141464594012837]","[4, 5, 6]",1.5985045086258953,0.4714320023864521,0,0.6107180428140323,0.1097897162032046,0.1542578259344906,"[0.3167632943370665, 0.23726569480706694, 0.1497902508015225]","[0.3167632943370665, 0.07908856493568897, 0.0499300836005075]","[0.5015760041429423, 0.4995489258251534, 0.5017527833928473]",0.8580770658801465,121393,0.21042214277916885,0.11060613789061961,0.15540492275650364,"[0.06277040368016466, 0.047797106243845484, 0.02967695413012559]","[0.06277040368016466, 0.015932368747948494, 0.009892318043375196]","[0.09975889234357727, 0.10024557182083828, 0.09925120101068322]",0.29564938681063935
63002426,"[1, 2, 3]",0.4069908480264832,0.10737287926969453,"[0.3015962519296845, 0.2983911552888615, 0.29742155657441455]","[0.3799412380585062, 0.28425371231488356, 0.17921688649749729]","[0.3799412380585062, 0.09475123743829451, 0.059738962165832424]",1.1456619245766737,0.30225008770578676,1.1460370064956291,0.34450302104219604,"[0.795862708155798, 0.8069348601379991, 0.8026857327547336]","[0.41924471684253334, 0.37471769923881026, 0.3341796205774734]","[0.41924471684253334, 0.12490589974627009, 0.1113932068591578]","[4, 5, 6]",1.6130227115235236,0.4848806748647064,0,0.6053281631451558,0.10581185202292921,0.14892793120463868,"[0.3174935153511758, 0.23645266144922084, 0.1491124068664432]","[0.3174935153511758, 0.07881755381640694, 0.04970413562214773]","[0.501461591002635, 0.49793181923371105, 0.49791616553916707]",0.8519865148714786,121604,0.20865353290781166,0.10893390651645771,0.15332215650114506,"[0.06244772270733299, 0.04780105086566352, 0.03010447963105521]","[0.06244772270733299, 0.015933683621887837, 0.01003482654368507]","[0.09965621170123394, 0.10005420346752716, 0.09932335852370579]",0.2936754097051968
15246992,"[1, 2, 3]",0.4076700356248207,0.10690536800899854,"[0.299613316862732, 0.30226322265402444, 0.30082925205429656]","[0.37714041380356533, 0.28457855615537475, 0.17883019990760873]","[0.37714041380356533, 0.09485951871845824, 0.059610066635869575]",1.13931836721463,0.2987691973480813,1.1134151758250785,0.3163910741602283,"[0.8015793753663486, 0.7949756122972134, 0.7936013332619628]","[0.416623975420206, 0.368020661955228, 0.3290798441746368]","[0.416623975420206, 0.12267355398507598, 0.1096932813915456]","[4, 5, 6]",1.5558346816056563,0.4421102000555855,0,0.6068548247837793,0.10572186984509817,0.14773083327817352,"[0.3137514253285479, 0.2374681667309953, 0.14904033641803954]","[0.3137514253285479, 0.07915605557699842, 0.04968011213934651]","[0.4997782509091905, 0.5027076194710327, 0.5014917120744378]",0.8479907617557563,120724,0.20848524646585917,0.10808886617289382,0.15103836406990062,"[0.06338898847502157, 0.047110389424379236, 0.029789863489568486]","[0.06338898847502157, 0.015703463141459744, 0.009929954496522828]","[0.10046182037790434, 0.10042413759150269, 0.10021367213539588]",0.29132760545886993
494421933,"[1, 2, 3]",0.41308601108975757,0.11291589657626898,"[0.2999365135770038, 0.30083571427879496, 0.29961184036992494]","[0.3783495494627793, 0.2843586948726899, 0.17950311929829432]","[0.3783495494627793, 0.1658759053424024, 0.05983437309943144]",1.1590285503998865,0.3168171867661232,1.1424273505256834,0.3410209562676414,"[0.8003184455232273, 0.8037255572755717, 0.800178666025397]","[0.41882303615489014, 0.37371286859001274, 0.3317491914360379]","[0.41882303615489014, 0.21799917334417407, 0.11058306381201263]","[4, 5, 6]",1.602700019450982,0.4784149232700412,0,0.6125065387084313,0.11229570347345236,0.1575385306193417,"[0.31545944010123683, 0.23688315684834024, 0.14939823146441283]","[0.31545944010123683, 0.13818184149486512, 0.04979941048813761]","[0.4995191344160165, 0.500703460015853, 0.5008940107469255]",0.8592793590333316,121210,0.21366548347107062,0.11353608967906902,0.1592786561467582,"[0.06289010936154607, 0.047475538024350374, 0.03010488783388183]","[0.06289010936154607, 0.027694063847537715, 0.010034962611293942]","[0.09984048749550328, 0.10055639542343323, 0.1000641935816171]",0.2997491913665365
